name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,data_source,endedness,genetically_modified,output_type,gtex_tissue,histone_mark,transcription_factor
CL:0000084 ATAC-seq,.,ATAC-seq,CL:0000084,T-cell,primary_cell,adult,encode,paired,False,OutputType.ATAC,,,
CL:0000100 ATAC-seq,.,ATAC-seq,CL:0000100,motor neuron,in_vitro_differentiated_cells,adult,encode,paired,False,OutputType.ATAC,,,
CL:0000236 ATAC-seq,.,ATAC-seq,CL:0000236,B cell,primary_cell,adult,encode,paired,False,OutputType.ATAC,,,
CL:0000623 ATAC-seq,.,ATAC-seq,CL:0000623,natural killer cell,primary_cell,adult,encode,paired,False,OutputType.ATAC,,,
CL:0000624 ATAC-seq,.,ATAC-seq,CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,OutputType.ATAC,,,
CL:0000625 ATAC-seq,.,ATAC-seq,CL:0000625,"CD8-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,OutputType.ATAC,,,
CL:0000787 ATAC-seq,.,ATAC-seq,CL:0000787,memory B cell,primary_cell,adult,encode,paired,False,OutputType.ATAC,,,
CL:0000788 ATAC-seq,.,ATAC-seq,CL:0000788,naive B cell,primary_cell,adult,encode,paired,False,OutputType.ATAC,,,
CL:0000792 ATAC-seq,.,ATAC-seq,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,adult,encode,paired,False,OutputType.ATAC,,,
CL:0000895 ATAC-seq,.,ATAC-seq,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,OutputType.ATAC,,,
CL:0000899 ATAC-seq,.,ATAC-seq,CL:0000899,T-helper 17 cell,primary_cell,adult,encode,paired,False,OutputType.ATAC,,,
CL:0000900 ATAC-seq,.,ATAC-seq,CL:0000900,"naive thymus-derived CD8-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,OutputType.ATAC,,,
CL:0000907 ATAC-seq,.,ATAC-seq,CL:0000907,"central memory CD8-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,OutputType.ATAC,,,
CL:0000913 ATAC-seq,.,ATAC-seq,CL:0000913,"effector memory CD8-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,OutputType.ATAC,,,
CL:1001606 ATAC-seq,.,ATAC-seq,CL:1001606,foreskin keratinocyte,primary_cell,newborn,encode,paired,False,OutputType.ATAC,,,
