Accession,Database,Description,Link,Usage,experiment_accession,file_accession,project,cell_type,ref_accession
ENCFF996ECA,ENCODE,MPRA normalized count data for OL27 in SK-N-SH cells,https://www.encodeproject.org/files/ENCFF996ECA/@@download/ENCFF996ECA.tsv,"MPRA experimental data used for Malinois training, validation, and testing",ENCSR623DJZ,ENCFF304FDH,OL27,SK-N-SH,ENCFF715XTT
ENCFF018AMJ,ENCODE,MPRA normalized count data for OL27 in A549 cells,https://www.encodeproject.org/files/ENCFF018AMJ/@@download/ENCFF018AMJ.tsv,"MPRA experimental data used for Malinois training, validation, and testing",ENCSR729IRS,ENCFF439ZER,OL27,A549,ENCFF715XTT
ENCFF345ASG,ENCODE,MPRA normalized count data for OL27 in GM12878 cells,https://www.encodeproject.org/files/ENCFF345ASG/@@download/ENCFF345ASG.tsv,"MPRA experimental data used for Malinois training, validation, and testing",ENCSR645CIP,ENCFF725MUJ,OL27,GM12878,ENCFF715XTT
ENCFF970OLE,ENCODE,MPRA normalized count data for OL27 in K562 cells,https://www.encodeproject.org/files/ENCFF970OLE/@@download/ENCFF970OLE.tsv,"MPRA experimental data used for Malinois training, validation, and testing",ENCSR857JFG,ENCFF172YVF,OL27,K562,ENCFF715XTT
ENCFF318XMJ,ENCODE,MPRA normalized count data for OL27 in HepG2 cells,https://www.encodeproject.org/files/ENCFF318XMJ/@@download/ENCFF318XMJ.tsv,"MPRA experimental data used for Malinois training, validation, and testing",ENCSR847SNQ,ENCFF224YJV,OL27,HepG2,ENCFF715XTT
ENCFF358MBK,ENCODE,MPRA normalized count data for OL28 in SK-N-SH cells,https://www.encodeproject.org/files/ENCFF358MBK/@@download/ENCFF358MBK.tsv,"MPRA experimental data used for Malinois training, validation, and testing",ENCSR833GXJ,ENCFF636IWQ,OL28,SK-N-SH,ENCFF384XZU
ENCFF379XWL,ENCODE,MPRA normalized count data for OL28 in HepG2 cells,https://www.encodeproject.org/files/ENCFF379XWL/@@download/ENCFF379XWL.tsv,"MPRA experimental data used for Malinois training, validation, and testing",ENCSR979TSK,ENCFF847LZR,OL28,HepG2,ENCFF384XZU
ENCFF774CHX,ENCODE,MPRA normalized count data for OL28 in K562 cells,https://www.encodeproject.org/files/ENCFF774CHX/@@download/ENCFF774CHX.tsv,"MPRA experimental data used for Malinois training, validation, and testing",ENCSR653LWA,ENCFF017YYT,OL28,K562,ENCFF384XZU
ENCFF138DJM,ENCODE,MPRA normalized count data for OL28 in A549 cells,https://www.encodeproject.org/files/ENCFF138DJM/@@download/ENCFF138DJM.tsv,"MPRA experimental data used for Malinois training, validation, and testing",ENCSR523VYM,ENCFF282DRV,OL28,A549,ENCFF384XZU
ENCFF277DDE,ENCODE,MPRA normalized count data for OL29 in A549 cells,https://www.encodeproject.org/files/ENCFF277DDE/@@download/ENCFF277DDE.tsv,"MPRA experimental data used for Malinois training, validation, and testing",ENCSR273YGD,ENCFF025ATT,OL29,A549,ENCFF074MMO
ENCFF334EKU,ENCODE,MPRA normalized count data for OL29 in K562 cells,https://www.encodeproject.org/files/ENCFF334EKU/@@download/ENCFF334EKU.tsv,"MPRA experimental data used for Malinois training, validation, and testing",ENCSR697PNZ,ENCFF889WPF,OL29,K562,ENCFF074MMO
ENCFF857FQR,ENCODE,MPRA normalized count data for OL29 in SK-N-SH cells,https://www.encodeproject.org/files/ENCFF857FQR/@@download/ENCFF857FQR.tsv,"MPRA experimental data used for Malinois training, validation, and testing",ENCSR742AAP,ENCFF329BLH,OL29,SK-N-SH,ENCFF074MMO
ENCFF477LDL,ENCODE,MPRA normalized count data for OL29 in HepG2 cells,https://www.encodeproject.org/files/ENCFF477LDL/@@download/ENCFF477LDL.tsv,"MPRA experimental data used for Malinois training, validation, and testing",ENCSR736XUK,ENCFF866FZN,OL29,HepG2,ENCFF074MMO
ENCFF484JFE,ENCODE,MPRA normalized count data for OL30 in HepG2 cells,https://www.encodeproject.org/files/ENCFF484JFE/@@download/ENCFF484JFE.tsv,"MPRA experimental data used for Malinois training, validation, and testing",ENCSR045VPN,ENCFF848GPT,OL30,HepG2,ENCFF621JOY
ENCFF227KRF,ENCODE,MPRA normalized count data for OL30 in K562 cells,https://www.encodeproject.org/files/ENCFF227KRF/@@download/ENCFF227KRF.tsv,"MPRA experimental data used for Malinois training, validation, and testing",ENCSR997GVD,ENCFF612YRJ,OL30,K562,ENCFF621JOY
ENCFF102ZVT,ENCODE,MPRA normalized count data for OL30 in A549 cells,https://www.encodeproject.org/files/ENCFF102ZVT/@@download/ENCFF102ZVT.tsv,"MPRA experimental data used for Malinois training, validation, and testing",ENCSR653QXW,ENCFF983DIE,OL30,A549,ENCFF621JOY
ENCFF333BAD,ENCODE,MPRA normalized count data for OL30 in SK-N-SH cells,https://www.encodeproject.org/files/ENCFF333BAD/@@download/ENCFF333BAD.tsv,"MPRA experimental data used for Malinois training, validation, and testing",ENCSR563TTU,ENCFF480BKB,OL30,SK-N-SH,ENCFF621JOY
ENCFF307HBZ,ENCODE,MPRA normalized count data for OL31 in A549 cells,https://www.encodeproject.org/files/ENCFF307HBZ/@@download/ENCFF307HBZ.tsv,"MPRA experimental data used for Malinois training, validation, and testing",ENCSR645XWQ,ENCFF772GNQ,OL31,A549,ENCFF431PJJ
ENCFF771HPB,ENCODE,MPRA normalized count data for OL31 in SK-N-SH cells,https://www.encodeproject.org/files/ENCFF771HPB/@@download/ENCFF771HPB.tsv,"MPRA experimental data used for Malinois training, validation, and testing",ENCSR505LQA,ENCFF329RAT,OL31,SK-N-SH,ENCFF431PJJ
ENCFF359KJL,ENCODE,MPRA normalized count data for OL31 in GM12878 cells,https://www.encodeproject.org/files/ENCFF359KJL/@@download/ENCFF359KJL.tsv,"MPRA experimental data used for Malinois training, validation, and testing",ENCSR410EJE,ENCFF178TFM,OL31,GM12878,ENCFF431PJJ
ENCFF035HKU,ENCODE,MPRA normalized count data for OL31 in HepG2 cells,https://www.encodeproject.org/files/ENCFF035HKU/@@download/ENCFF035HKU.tsv,"MPRA experimental data used for Malinois training, validation, and testing",ENCSR222QJT,ENCFF909YEL,OL31,HepG2,ENCFF431PJJ
ENCFF759PPO,ENCODE,MPRA normalized count data for OL31 in K562 cells,https://www.encodeproject.org/files/ENCFF759PPO/@@download/ENCFF759PPO.tsv,"MPRA experimental data used for Malinois training, validation, and testing",ENCSR753ZRI,ENCFF842RUM,OL31,K562,ENCFF431PJJ
ENCFF256WKS,ENCODE,MPRA normalized count data for OL32 in A549 cells,https://www.encodeproject.org/files/ENCFF256WKS/@@download/ENCFF256WKS.tsv,"MPRA experimental data used for Malinois training, validation, and testing",ENCSR213UGS,ENCFF978EGA,OL32,A549,ENCFF982GRP
